序号,名称,类型,上映日期,片长,评分,收入（百万）
326,The Last Witch Hunter,"Action,Adventure,Fantasy",2015,106,6,27.36
327,Victor Frankenstein,"Drama,Horror,Sci-Fi",2015,110,6,5.77
328,A Street Cat Named Bob,"Biography,Comedy,Drama",2016,103,7.4,0.04
329,Green Room,"Crime,Horror,Thriller",2015,95,7,3.22
330,Blackhat,"Crime,Drama,Mystery",2015,133,5.4,7.1
331,Storks,"Animation,Adventure,Comedy",2016,87,6.9,72.66
332,American Sniper,"Action,Biography,Drama",2014,133,7.3,350.12
333,Dallas Buyers Club,"Biography,Drama",2013,117,8,27.3
334,Lincoln,"Biography,Drama,History",2012,150,7.4,182.2
335,Rush,"Action,Biography,Drama",2013,123,8.1,26.9
336,Before I Wake,"Drama,Fantasy,Horror",2016,97,6.1,
337,Silver Linings Playbook,"Comedy,Drama,Romance",2012,122,7.8,132.09
338,Tracktown,"Drama,Sport",2016,88,5.9,
339,The Fault in Our Stars,"Drama,Romance",2014,126,7.8,124.87
340,Blended,"Comedy,Romance",2014,117,6.5,46.28
341,Fast & Furious,"Action,Crime,Thriller",2009,107,6.6,155.02
342,Looper,"Action,Crime,Drama",2012,119,7.4,66.47
343,White House Down,"Action,Drama,Thriller",2013,131,6.4,73.1
344,Pete's Dragon,"Adventure,Family,Fantasy",2016,102,6.8,76.2
345,Spider-Man 3,"Action,Adventure",2007,139,6.2,336.53
346,The Three Musketeers,"Action,Adventure,Romance",2011,110,5.8,20.32
347,Stardust,"Adventure,Family,Fantasy",2007,127,7.7,38.35
348,American Hustle,"Crime,Drama",2013,138,7.3,150.12
349,Jennifer's Body,"Comedy,Horror",2009,102,5.1,16.2
350,Midnight in Paris,"Comedy,Fantasy,Romance",2011,94,7.7,56.82
351,Lady Macbeth,Drama,2016,89,7.3,
352,Joy,Drama,2015,124,6.6,56.44
353,The Dressmaker,"Comedy,Drama",2015,119,7.1,2.02
354,Caf茅 Society,"Comedy,Drama,Romance",2016,96,6.7,11.08
355,Insurgent,"Adventure,Sci-Fi,Thriller",2015,119,6.3,130
356,Seventh Son,"Action,Adventure,Fantasy",2014,102,5.5,17.18
357,Demain tout commence,"Comedy,Drama",2016,118,7.4,
358,The Theory of Everything,"Biography,Drama,Romance",2014,123,7.7,35.89
359,This Is the End,"Comedy,Fantasy",2013,107,6.6,101.47
360,About Time,"Comedy,Drama,Fantasy",2013,123,7.8,15.29
361,Step Brothers,Comedy,2008,98,6.9,100.47
362,Clown,"Horror,Thriller",2014,100,5.7,0.05
363,Star Trek Into Darkness,"Action,Adventure,Sci-Fi",2013,132,7.8,228.76
364,Zombieland,"Adventure,Comedy,Horror",2009,88,7.7,75.59
365,"Hail, Caesar!","Comedy,Mystery",2016,106,6.3,30
366,Slumdog Millionaire,Drama,2008,120,8,141.32
367,The Twilight Saga: Breaking Dawn - Part 2,"Adventure,Drama,Fantasy",2012,115,5.5,292.3
368,American Wrestler: The Wizard,"Drama,Sport",2016,117,6.9,
369,The Amazing Spider-Man,"Action,Adventure",2012,136,7,262.03
370,Ben-Hur,"Action,Adventure,Drama",2016,123,5.7,26.38
371,Sleight,"Action,Drama,Sci-Fi",2016,89,6,3.85
372,The Maze Runner,"Action,Mystery,Sci-Fi",2014,113,6.8,102.41
373,Criminal,"Action,Crime,Drama",2016,113,6.3,14.27
374,Wanted,"Action,Crime,Fantasy",2008,110,6.7,134.57
375,Florence Foster Jenkins,"Biography,Comedy,Drama",2016,111,6.9,27.37
376,Collide,"Action,Crime,Thriller",2016,99,5.7,2.2
377,Black Mass,"Biography,Crime,Drama",2015,123,6.9,62.56
378,Creed,"Drama,Sport",2015,133,7.6,109.71
379,Swiss Army Man,"Adventure,Comedy,Drama",2016,97,7.1,4.21
380,The Expendables 3,"Action,Adventure,Thriller",2014,126,6.1,39.29
381,What We Do in the Shadows,"Comedy,Fantasy,Horror",2014,86,7.6,3.33
382,Southpaw,"Drama,Sport",2015,124,7.4,52.42
383,Hush,"Horror,Thriller",2016,81,6.6,
384,Bridge of Spies,"Drama,History,Thriller",2015,142,7.6,72.31
385,The Lego Movie,"Animation,Action,Adventure",2014,100,7.8,257.76
386,Everest,"Action,Adventure,Drama",2015,121,7.1,43.25
387,Pixels,"Action,Comedy,Family",2015,105,5.6,78.75
388,Robin Hood,"Action,Adventure,Drama",2010,140,6.7,105.22
389,The Wolverine,"Action,Adventure,Sci-Fi",2013,126,6.7,132.55
390,John Carter,"Action,Adventure,Sci-Fi",2012,132,6.6,73.06
391,Keanu,"Action,Comedy",2016,100,6.3,20.57
392,The Gunman,"Action,Crime,Drama",2015,115,5.8,10.64
393,Steve Jobs,"Biography,Drama",2015,122,7.2,17.75
394,Whisky Galore,"Comedy,Romance",2016,98,5,
395,Grown Ups 2,Comedy,2013,101,5.4,133.67
396,The Age of Adaline,"Drama,Fantasy,Romance",2015,112,7.2,42.48
397,The Incredible Hulk,"Action,Adventure,Sci-Fi",2008,112,6.8,134.52
398,Couples Retreat,Comedy,2009,113,5.5,109.18
399,Absolutely Anything,"Comedy,Sci-Fi",2015,85,6,
400,Magic Mike,"Comedy,Drama",2012,110,6.1,113.71
401,Minions,"Animation,Action,Adventure",2015,91,6.4,336.03
402,The Black Room,Horror,2016,91,3.9,
403,Bronson,"Action,Biography,Crime",2008,92,7.1,0.1
404,Despicable Me,"Animation,Adventure,Comedy",2010,95,7.7,251.5
405,The Best of Me,"Drama,Romance",2014,118,6.7,26.76
406,The Invitation,"Drama,Mystery,Thriller",2015,100,6.7,0.23
407,Zero Dark Thirty,"Drama,History,Thriller",2012,157,7.4,95.72
408,Tangled,"Animation,Adventure,Comedy",2010,100,7.8,200.81
409,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi",2015,137,6.6,281.67
410,Vacation,"Adventure,Comedy",2015,99,6.1,58.88
411,Taken,"Action,Thriller",2008,93,7.8,145
412,Pitch Perfect 2,"Comedy,Music",2015,115,6.5,183.44
413,Monsters University,"Animation,Adventure,Comedy",2013,104,7.3,268.49
414,Elle,"Crime,Drama,Thriller",2016,130,7.2,
415,Mechanic: Resurrection,"Action,Adventure,Crime",2016,98,5.6,21.2
416,Tusk,"Comedy,Drama,Horror",2014,102,5.4,1.82
417,The Headhunter's Calling,Drama,2016,108,6.9,
418,Atonement,"Drama,Mystery,Romance",2007,123,7.8,50.92
419,Harry Potter and the Deathly Hallows: Part 1,"Adventure,Family,Fantasy",2010,146,7.7,294.98
420,Shame,Drama,2011,101,7.2,4
421,Hanna,"Action,Drama,Thriller",2011,111,6.8,40.25
422,The Babysitters,Drama,2007,88,5.7,0.04
423,Pride and Prejudice and Zombies,"Action,Horror,Romance",2016,108,5.8,10.91
424,300: Rise of an Empire,"Action,Drama,Fantasy",2014,102,6.2,106.37
425,London Has Fallen,"Action,Crime,Drama",2016,99,5.9,62.4
426,The Curious Case of Benjamin Button,"Drama,Fantasy,Romance",2008,166,7.8,127.49
427,Sin City: A Dame to Kill For,"Action,Crime,Thriller",2014,102,6.5,13.75
428,The Bourne Ultimatum,"Action,Mystery,Thriller",2007,115,8.1,227.14
429,Srpski film,"Horror,Mystery,Thriller",2010,104,5.2,
430,The Purge: Election Year,"Action,Horror,Sci-Fi",2016,109,6,79
431,3 Idiots,"Comedy,Drama",2009,170,8.4,6.52
432,Zoolander 2,Comedy,2016,102,4.7,28.84
433,World War Z,"Action,Adventure,Horror",2013,116,7,202.35
434,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller",2011,132,7.4,209.36
435,Let Me Make You a Martyr,"Action,Crime,Drama",2016,102,6.4,
436,Filth,"Comedy,Crime,Drama",2013,97,7.1,0.03
437,The Longest Ride,"Drama,Romance",2015,123,7.1,37.43
438,The imposible,"Drama,Thriller",2012,114,7.6,19
439,Kick-Ass 2,"Action,Comedy,Crime",2013,103,6.6,28.75
440,Folk Hero & Funny Guy,Comedy,2016,88,5.6,
441,Oz the Great and Powerful,"Adventure,Family,Fantasy",2013,130,6.3,234.9
442,Brooklyn,"Drama,Romance",2015,117,7.5,38.32
443,Coraline,"Animation,Family,Fantasy",2009,100,7.7,75.28
444,Blue Valentine,"Drama,Romance",2010,112,7.4,9.7
445,The Thinning,Thriller,2016,81,6,
446,Silent Hill,"Adventure,Horror,Mystery",2006,125,6.6,46.98
447,Dredd,"Action,Sci-Fi",2012,95,7.1,13.4
448,Hunt for the Wilderpeople,"Adventure,Comedy,Drama",2016,101,7.9,5.2
449,Big Hero 6,"Animation,Action,Adventure",2014,102,7.8,222.49
450,Carrie,"Drama,Horror",2013,100,5.9,35.27
451,Iron Man 2,"Action,Adventure,Sci-Fi",2010,124,7,312.06
452,Demolition,"Comedy,Drama",2015,101,7,1.82
453,Pandorum,"Action,Horror,Mystery",2009,108,6.8,10.33
454,Olympus Has Fallen,"Action,Thriller",2013,119,6.5,98.9
455,I Am Number Four,"Action,Adventure,Sci-Fi",2011,109,6.1,55.09
456,Jagten,Drama,2012,115,8.3,0.61
457,The Proposal,"Comedy,Drama,Romance",2009,108,6.7,163.95
458,Get Hard,"Comedy,Crime",2015,100,6,90.35
459,Just Go with It,"Comedy,Romance",2011,117,6.4,103.03
460,Revolutionary Road,"Drama,Romance",2008,119,7.3,22.88
461,The Town,"Crime,Drama,Thriller",2010,125,7.6,92.17
462,The Boy,"Horror,Mystery,Thriller",2016,97,6,35.79
463,Denial,"Biography,Drama",2016,109,6.6,4.07
464,Predestination,"Drama,Mystery,Sci-Fi",2014,97,7.5,
465,Goosebumps,"Adventure,Comedy,Family",2015,103,6.3,80.02
466,Sherlock Holmes: A Game of Shadows,"Action,Adventure,Crime",2011,129,7.5,186.83
467,Salt,"Action,Crime,Mystery",2010,100,6.4,118.31
468,Enemy,"Mystery,Thriller",2013,91,6.9,1.01
469,District 9,"Action,Sci-Fi,Thriller",2009,112,8,115.65
470,The Other Guys,"Action,Comedy,Crime",2010,107,6.7,119.22
471,American Gangster,"Biography,Crime,Drama",2007,157,7.8,130.13
472,Marie Antoinette,"Biography,Drama,History",2006,123,6.4,15.96
473,2012,"Action,Adventure,Sci-Fi",2009,158,5.8,166.11
474,Harry Potter and the Half-Blood Prince,"Adventure,Family,Fantasy",2009,153,7.5,301.96
475,Argo,"Biography,Drama,History",2012,120,7.7,136.02
476,Eddie the Eagle,"Biography,Comedy,Drama",2016,106,7.4,15.79
477,The Lives of Others,"Drama,Thriller",2006,137,8.5,11.28
478,Pet,"Horror,Thriller",2016,94,5.7,
479,Paint It Black,Drama,2016,96,8.3,
480,Macbeth,"Drama,War",2015,113,6.7,
481,Forgetting Sarah Marshall,"Comedy,Drama,Romance",2008,111,7.2,62.88
482,The Giver,"Drama,Romance,Sci-Fi",2014,97,6.5,45.09
483,Triple 9,"Action,Crime,Drama",2016,115,6.3,12.63
484,Perfetti sconosciuti,"Comedy,Drama",2016,97,7.7,
485,Angry Birds,"Animation,Action,Adventure",2016,97,6.3,107.51
486,Moonrise Kingdom,"Adventure,Comedy,Drama",2012,94,7.8,45.51
487,Hairspray,"Comedy,Drama,Family",2007,117,6.7,118.82
488,Safe Haven,"Drama,Romance,Thriller",2013,115,6.7,71.35
489,Focus,"Comedy,Crime,Drama",2015,105,6.6,53.85
490,Ratatouille,"Animation,Comedy,Family",2007,111,8,206.44
491,Stake Land,"Drama,Horror,Sci-Fi",2010,98,6.5,0.02
492,The Book of Eli,"Action,Adventure,Drama",2010,118,6.9,94.82
493,Cloverfield,"Action,Horror,Sci-Fi",2008,85,7,80.03
494,Point Break,"Action,Crime,Sport",2015,114,5.3,28.77
495,Under the Skin,"Drama,Horror,Sci-Fi",2013,108,6.3,2.61
496,I Am Legend,"Drama,Horror,Sci-Fi",2007,101,7.2,256.39
497,Men in Black 3,"Action,Adventure,Comedy",2012,106,6.8,179.02
498,Super 8,"Mystery,Sci-Fi,Thriller",2011,112,7.1,126.98
499,Law Abiding Citizen,"Crime,Drama,Thriller",2009,109,7.4,73.34
500,Up,"Animation,Adventure,Comedy",2009,96,8.3,292.98
501,Maze Runner: The Scorch Trials,"Action,Sci-Fi,Thriller",2015,131,6.3,81.69
502,Carol,"Drama,Romance",2015,118,7.2,0.25
503,Imperium,"Crime,Drama,Thriller",2016,109,6.5,
504,Youth,"Comedy,Drama,Music",2015,124,7.3,2.7
505,Mr. Nobody,"Drama,Fantasy,Romance",2009,141,7.9,
506,City of Tiny Lights,"Crime,Drama,Thriller",2016,110,5.7,
507,Savages,"Crime,Drama,Thriller",2012,131,6.5,47.31
508,(500) Days of Summer,"Comedy,Drama,Romance",2009,95,7.7,32.39
509,Movie 43,"Comedy,Romance",2013,94,4.3,8.83
510,Gravity,"Drama,Sci-Fi,Thriller",2013,91,7.8,274.08
511,The Boy in the Striped Pyjamas,"Drama,War",2008,94,7.8,9.03
512,Shooter,"Action,Crime,Drama",2007,124,7.2,46.98
513,The Happening,"Sci-Fi,Thriller",2008,91,5,64.51
514,Bone Tomahawk,"Adventure,Drama,Horror",2015,132,7.1,66.01
515,Magic Mike XXL,"Comedy,Drama,Music",2015,115,5.7,
516,Easy A,"Comedy,Drama,Romance",2010,92,7.1,58.4
517,Exodus: Gods and Kings,"Action,Adventure,Drama",2014,150,6,65.01
518,Chappie,"Action,Crime,Drama",2015,120,6.9,31.57
519,The Hobbit: The Desolation of Smaug,"Adventure,Fantasy",2013,161,7.9,258.36
520,Half of a Yellow Sun,"Drama,Romance",2013,111,6.2,0.05
521,Anthropoid,"Biography,History,Thriller",2016,120,7.2,2.96
522,The Counselor,"Crime,Drama,Thriller",2013,117,5.3,16.97
523,Viking,"Action,Drama,History",2016,133,4.7,23.05
524,Whiskey Tango Foxtrot,"Biography,Comedy,Drama",2016,112,6.6,
525,Trust,"Crime,Drama,Thriller",2010,106,7,0.06
526,Birth of the Dragon,"Action,Biography,Drama",2016,103,3.9,93.05
527,Elysium,"Action,Drama,Sci-Fi",2013,109,6.6,
528,The Green Inferno,"Adventure,Horror",2013,100,5.4,7.19
529,Godzilla,"Action,Adventure,Sci-Fi",2014,123,6.4,200.66
530,The Bourne Legacy,"Action,Adventure,Mystery",2012,135,6.7,113.17
531,A Good Year,"Comedy,Drama,Romance",2006,117,6.9,7.46
532,Friend Request,"Horror,Thriller",2016,92,5.4,64.03
533,Deja Vu,"Action,Sci-Fi,Thriller",2006,126,7,
534,Lucy,"Action,Sci-Fi,Thriller",2014,89,6.4,126.55
535,A Quiet Passion,"Biography,Drama",2016,125,7.2,1.08
536,Need for Speed,"Action,Crime,Drama",2014,132,6.5,43.57
537,Jack Reacher,"Action,Crime,Mystery",2012,130,7,58.68
538,The Do-Over,"Action,Adventure,Comedy",2016,108,5.7,0.54
539,True Crimes,"Crime,Drama,Thriller",2016,92,7.3,
540,American Pastoral,"Crime,Drama",2016,108,6.1,
541,The Ghost Writer,"Mystery,Thriller",2010,128,7.2,15.52
542,Limitless,"Mystery,Sci-Fi,Thriller",2011,105,7.4,79.24
543,Spectral,"Action,Mystery,Sci-Fi",2016,107,6.3,
544,P.S. I Love You,"Drama,Romance",2007,126,7.1,53.68
545,Zipper,"Drama,Thriller",2015,103,5.7,
546,Midnight Special,"Drama,Mystery,Sci-Fi",2016,112,6.7,3.71
547,Don't Think Twice,"Comedy,Drama",2016,92,6.8,4.42
548,Alice in Wonderland,"Adventure,Family,Fantasy",2010,108,6.5,334.19
549,Chuck,"Biography,Drama,Sport",2016,98,6.8,0.11
550,"I, Daniel Blake",Drama,2016,100,7.9,
551,The Break-Up,"Comedy,Drama,Romance",2006,106,5.8,118.68
552,Loving,"Biography,Drama,Romance",2016,123,7.1,7.7
553,Fantastic Four,"Action,Adventure,Sci-Fi",2015,100,4.3,56.11
554,The Survivalist,"Drama,Sci-Fi,Thriller",2015,104,6.3,
555,Colonia,"Drama,Romance,Thriller",2015,106,7.1,
556,The Boy Next Door,"Mystery,Thriller",2015,91,4.6,35.39
557,The Gift,"Mystery,Thriller",2015,108,7.1,43.77
558,Dracula Untold,"Action,Drama,Fantasy",2014,92,6.3,55.94
559,In the Heart of the Sea,"Action,Adventure,Biography",2015,122,6.9,24.99
560,Idiocracy,"Adventure,Comedy,Sci-Fi",2006,84,6.6,0.44
561,The Expendables,"Action,Adventure,Thriller",2010,103,6.5,102.98
562,Evil Dead,"Fantasy,Horror",2013,91,6.5,54.24
563,Sinister,"Horror,Mystery",2012,110,6.8,48.06
564,Wreck-It Ralph,"Animation,Adventure,Comedy",2012,101,7.8,189.41
565,Snow White and the Huntsman,"Action,Adventure,Drama",2012,127,6.1,155.11
566,Pan,"Adventure,Family,Fantasy",2015,111,5.8,34.96
567,Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi",2011,154,6.3,352.36
568,Juno,"Comedy,Drama",2007,96,7.5,143.49
569,A Hologram for the King,"Comedy,Drama",2016,98,6.1,4.2
570,Money Monster,"Crime,Drama,Thriller",2016,98,6.5,41.01
571,The Other Woman,"Comedy,Romance",2014,109,6,83.91
572,Enchanted,"Animation,Comedy,Family",2007,107,7.1,127.71
573,The Intern,"Comedy,Drama",2015,121,7.1,75.27
574,Little Miss Sunshine,"Comedy,Drama",2006,101,7.8,59.89
575,Bleed for This,"Biography,Drama,Sport",2016,117,6.8,4.85
576,Clash of the Titans,"Action,Adventure,Fantasy",2010,106,5.8,163.19
577,The Finest Hours,"Action,Drama,History",2016,117,6.8,27.55
578,Tron,"Action,Adventure,Sci-Fi",2010,125,6.8,172.05
579,The Hunger Games: Catching Fire,"Action,Adventure,Mystery",2013,146,7.6,424.65
580,All Good Things,"Crime,Drama,Mystery",2010,101,6.3,0.58
581,Kickboxer: Vengeance,Action,2016,90,4.9,131.56
582,The Last Airbender,"Action,Adventure,Family",2010,103,4.2,
583,Sex Tape,"Comedy,Romance",2014,94,5.1,38.54
584,What to Expect When You're Expecting,"Comedy,Drama,Romance",2012,110,5.7,41.1
585,Moneyball,"Biography,Drama,Sport",2011,133,7.6,75.61
586,Ghost Rider,"Action,Fantasy,Thriller",2007,114,5.2,115.8
587,Unbroken,"Biography,Drama,Sport",2014,137,7.2,115.6
588,Immortals,"Action,Drama,Fantasy",2011,110,6,83.5
589,Sunshine,"Adventure,Sci-Fi,Thriller",2007,107,7.3,3.68
590,Brave,"Animation,Adventure,Comedy",2012,93,7.2,237.28
591,M盲n som hatar kvinnor,"Drama,Mystery,Thriller",2009,152,7.8,10.1
592,Adoration,"Drama,Romance",2013,112,6.2,0.32
593,The Drop,"Crime,Drama,Mystery",2014,106,7.1,10.72
594,She's the Man,"Comedy,Romance,Sport",2006,105,6.4,2.34
595,Daddy's Home,"Comedy,Family",2015,96,6.1,150.32
596,Let Me In,"Drama,Horror,Mystery",2010,116,7.2,12.13
597,Never Back Down,"Action,Drama,Sport",2008,110,6.6,24.85
598,Grimsby,"Action,Adventure,Comedy",2016,83,6.2,6.86
599,Moon,"Drama,Mystery,Sci-Fi",2009,97,7.9,5.01
600,Megamind,"Animation,Action,Comedy",2010,95,7.3,148.34
601,Gangster Squad,"Action,Crime,Drama",2013,113,6.7,46
602,Blood Father,"Action,Crime,Drama",2016,88,6.4,93.95
603,He's Just Not That Into You,"Comedy,Drama,Romance",2009,129,6.4,
604,Kung Fu Panda 3,"Animation,Action,Adventure",2016,95,7.2,143.52
605,The Rise of the Krays,"Crime,Drama",2015,110,5.1,6.53
606,Handsome Devil,Drama,2016,95,7.4,
607,Winter's Bone,Drama,2010,100,7.2,
608,Horrible Bosses,"Comedy,Crime",2011,98,6.9,117.53
609,Mommy,Drama,2014,139,8.1,3.49
610,Hellboy II: The Golden Army,"Action,Adventure,Fantasy",2008,120,7,75.75
611,Beautiful Creatures,"Drama,Fantasy,Romance",2013,124,6.2,19.45
612,Toni Erdmann,"Comedy,Drama",2016,162,7.6,1.48
613,The Lovely Bones,"Drama,Fantasy,Thriller",2009,135,6.7,43.98
614,The Assassination of Jesse James by the Coward Robert Ford,"Biography,Crime,Drama",2007,160,7.5,3.9
615,Don Jon,"Comedy,Drama,Romance",2013,90,6.6,24.48
616,Bastille Day,"Action,Crime,Drama",2016,92,6.3,0.04
617,2307: Winter's Dream,Sci-Fi,2016,101,4,20.76
618,Free State of Jones,"Action,Biography,Drama",2016,139,6.9,
619,Mr. Right,"Action,Comedy,Romance",2015,95,6.3,0.03
620,The Secret Life of Walter Mitty,"Adventure,Comedy,Drama",2013,114,7.3,58.23
621,Dope,"Comedy,Crime,Drama",2015,103,7.3,17.47
622,Underworld Awakening,"Action,Fantasy,Horror",2012,88,6.4,62.32
623,Antichrist,"Drama,Horror",2009,108,6.6,0.4
624,Friday the 13th,Horror,2009,97,5.6,65
625,Taken 3,"Action,Thriller",2014,109,6,89.25
626,Total Recall,"Action,Adventure,Mystery",2012,118,6.3,58.88
627,X-Men: The Last Stand,"Action,Adventure,Fantasy",2006,104,6.7,234.36
628,The Escort,"Comedy,Drama,Romance",2016,88,6,
629,The Whole Truth,"Crime,Drama,Mystery",2016,93,6.1,
630,Night at the Museum: Secret of the Tomb,"Adventure,Comedy,Family",2014,98,6.2,113.73
631,Love & Other Drugs,"Comedy,Drama,Romance",2010,112,6.7,32.36
632,The Interview,Comedy,2014,112,6.6,6.11
633,The Host,"Comedy,Drama,Horror",2006,120,7,2.2
634,Megan Is Missing,"Drama,Horror,Thriller",2011,85,4.9,
635,WALL路E,"Animation,Adventure,Family",2008,98,8.4,223.81
636,Knocked Up,"Comedy,Romance",2007,129,7,148.73
637,Source Code,"Mystery,Romance,Sci-Fi",2011,93,7.5,54.7
638,Lawless,"Crime,Drama",2012,116,7.3,37.4
639,Unfriended,"Drama,Horror,Mystery",2014,83,5.6,31.54
640,American Reunion,Comedy,2012,113,6.7,56.72
641,The Pursuit of Happyness,"Biography,Drama",2006,117,8,162.59
642,Relatos salvajes,"Comedy,Drama,Thriller",2014,122,8.1,3.08
643,The Ridiculous 6,"Comedy,Western",2015,119,4.8,
644,Frantz,"Drama,History,War",2016,113,7.5,0.86
645,Viral,"Drama,Horror,Sci-Fi",2016,85,5.5,
646,Gran Torino,Drama,2008,116,8.2,148.09
647,Burnt,"Comedy,Drama",2015,101,6.6,13.65
648,Tall Men,"Fantasy,Horror,Thriller",2016,133,3.2,
649,Sleeping Beauty,"Drama,Romance",2011,101,5.3,0.03
650,Vampire Academy,"Action,Comedy,Fantasy",2014,104,5.6,7.79
651,Sweeney Todd: The Demon Barber of Fleet Street,"Drama,Horror,Musical",2007,116,7.4,52.88
652,Solace,"Crime,Drama,Mystery",2015,101,6.4,
653,Insidious,"Horror,Mystery,Thriller",2010,103,6.8,53.99
654,Popstar: Never Stop Never Stopping,"Comedy,Music",2016,87,6.7,9.39
655,The Levelling,Drama,2016,83,6.4,
656,Public Enemies,"Biography,Crime,Drama",2009,140,7,97.03
657,Boyhood,Drama,2014,165,7.9,25.36
658,Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy",2014,101,5.9,190.87
659,Eastern Promises,"Crime,Drama,Mystery",2007,100,7.7,17.11
660,The Daughter,Drama,2015,96,6.7,0.03
661,Pineapple Express,"Action,Comedy,Crime",2008,111,7,87.34
