名称,类型,上映时间,片长,评分,收入(百万)
Guardians of the Galaxy,"Action,Adventure,Sci-Fi",2014,121,8.1,333.13
Prometheus,"Adventure,Mystery,Sci-Fi",2012,124,7,126.46
Split,"Horror,Thriller",2016,117,7.3,138.12
Sing,"Animation,Comedy,Family",2016,108,7.2,270.32
Suicide Squad,"Action,Adventure,Fantasy",2016,123,6.2,325.02
The Great Wall,"Action,Adventure,Fantasy",2016,103,6.1,45.13
La La Land,"Comedy,Drama,Music",2016,128,8.3,151.06
The Lost City of Z,"Action,Adventure,Biography",2016,141,7.1,8.01
Passengers,"Adventure,Drama,Romance",2016,116,7,100.01
Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",2016,133,7.5,234.02
Hidden Figures,"Biography,Drama,History",2016,127,7.8,169.27
Rogue One,"Action,Adventure,Sci-Fi",2016,133,7.9,532.17
Moana,"Animation,Adventure,Comedy",2016,107,7.7,248.75
Colossal,"Action,Comedy,Drama",2016,109,6.4,2.87
The Secret Life of Pets,"Animation,Adventure,Comedy",2016,87,6.6,368.31
Jason Bourne,"Action,Thriller",2016,123,6.7,162.16
Lion,"Biography,Drama",2016,118,8.1,51.69
Arrival,"Drama,Mystery,Sci-Fi",2016,116,8,100.5
Gold,"Adventure,Drama,Thriller",2016,120,6.7,7.22
Manchester by the Sea,Drama,2016,137,7.9,47.7
Trolls,"Animation,Adventure,Comedy",2016,92,6.5,153.69
Independence Day: Resurgence,"Action,Adventure,Sci-Fi",2016,120,5.3,103.14
Bahubali: The Beginning,"Action,Adventure,Drama",2015,159,8.3,6.5
Dead Awake,"Horror,Thriller",2016,99,4.7,0.01
Bad Moms,Comedy,2016,100,6.2,113.08
Assassin's Creed,"Action,Adventure,Drama",2016,115,5.9,54.65
Nocturnal Animals,"Drama,Thriller",2016,116,7.5,10.64
X-Men: Apocalypse,"Action,Adventure,Sci-Fi",2016,144,7.1,155.33
Deadpool,"Action,Adventure,Comedy",2016,108,8,363.02
Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi",2016,107,5.6,26.84
Captain America: Civil War,"Action,Adventure,Sci-Fi",2016,147,7.9,408.08
Interstellar,"Adventure,Drama,Sci-Fi",2014,169,8.6,187.99
Doctor Strange,"Action,Adventure,Fantasy",2016,115,7.6,232.6
The Magnificent Seven,"Action,Adventure,Western",2016,132,6.9,93.38
Sausage Party,"Animation,Adventure,Comedy",2016,89,6.3,97.66
Moonlight,Drama,2016,111,7.5,27.85
The Founder,"Biography,Drama,History",2016,115,7.2,12.79
Lowriders,Drama,2016,99,6.3,4.21
Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",2011,136,6.7,241.06
Miss Sloane,"Drama,Thriller",2016,132,7.3,3.44
Star Trek Beyond,"Action,Adventure,Sci-Fi",2016,122,7.1,158.8
Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy",2015,136,8.1,936.63
Underworld: Blood Wars,"Action,Adventure,Fantasy",2016,91,5.8,30.35
Mother's Day,"Comedy,Drama",2016,118,5.6,32.46
John Wick,"Action,Crime,Thriller",2014,101,7.2,43
The Dark Knight,"Action,Crime,Drama",2008,152,9,533.32
Silence,"Adventure,Drama,History",2016,161,7.3,7.08
Don't Breathe,"Crime,Horror,Thriller",2016,88,7.2,89.21
Me Before You,"Drama,Romance",2016,106,7.4,56.23
Their Finest,"Comedy,Drama,Romance",2016,117,7,3.18
Sully,"Biography,Drama",2016,96,7.5,125.07
Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi",2016,151,6.7,330.25
The Girl on the Train,"Crime,Drama,Mystery",2016,112,6.5,75.31
Fifty Shades of Grey,"Drama,Romance,Thriller",2015,125,4.1,166.15
The Prestige,"Drama,Mystery,Sci-Fi",2006,130,8.5,53.08
Kingsman: The Secret Service,"Action,Adventure,Comedy",2014,129,7.7,128.25
Patriots Day,"Drama,History,Thriller",2016,133,7.4,31.86
Mad Max: Fury Road,"Action,Adventure,Sci-Fi",2015,120,8.1,153.63
Wakefield,Drama,2016,106,7.5,0.01
Deepwater Horizon,"Action,Drama,Thriller",2016,107,7.2,61.28
Allied,"Action,Drama,Romance",2016,124,7.1,40.07
A Monster Calls,"Drama,Fantasy",2016,108,7.5,3.73
Collateral Beauty,"Drama,Romance",2016,97,6.8,30.98
Zootopia,"Animation,Adventure,Comedy",2016,108,8.1,341.26
Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",2007,169,7.1,309.4
The Avengers,"Action,Sci-Fi",2012,143,8.1,623.28
Inglourious Basterds,"Adventure,Drama,War",2009,153,8.3,120.52
Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy",2006,151,7.3,423.03
Ghostbusters,"Action,Comedy,Fantasy",2016,116,5.3,128.34
Inception,"Action,Adventure,Sci-Fi",2010,148,8.8,292.57
Captain Fantastic,"Comedy,Drama",2016,118,7.9,5.88
The Wolf of Wall Street,"Biography,Comedy,Crime",2013,180,8.2,116.87
Gone Girl,"Crime,Drama,Mystery",2014,149,8.1,167.74
Furious Seven,"Action,Crime,Thriller",2015,137,7.2,350.03
Jurassic World,"Action,Adventure,Sci-Fi",2015,124,7,652.18
Live by Night,"Crime,Drama",2016,129,6.4,10.38
Avatar,"Action,Adventure,Fantasy",2009,162,7.8,760.51
The Hateful Eight,"Crime,Drama,Mystery",2015,187,7.8,54.12
The Accountant,"Action,Crime,Drama",2016,128,7.4,86.2
Prisoners,"Crime,Drama,Mystery",2013,153,8.1,60.96
Warcraft,"Action,Adventure,Fantasy",2016,123,7,47.17
The Help,Drama,2011,146,8.1,169.71
War Dogs,"Comedy,Crime,Drama",2016,114,7.1,43.02
Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",2015,141,7.4,458.99
The Nice Guys,"Action,Comedy,Crime",2016,116,7.4,36.25
Kimi no na wa,"Animation,Drama,Fantasy",2016,106,8.6,4.68
The Void,"Horror,Mystery,Sci-Fi",2016,90,5.8,0.15
Personal Shopper,"Drama,Mystery,Thriller",2016,105,6.3,1.29
Legend,"Biography,Crime,Drama",2015,132,7,1.87
Thor,"Action,Adventure,Fantasy",2011,115,7,181.02
The Martian,"Adventure,Drama,Sci-Fi",2015,144,8,228.43
The Man from U.N.C.L.E.,"Action,Adventure,Comedy",2015,116,7.3,45.43
Hell or High Water,"Crime,Drama,Thriller",2016,102,7.7,26.86
The Comedian,Comedy,2016,120,5.4,1.66
The Legend of Tarzan,"Action,Adventure,Drama",2016,110,6.3,126.59
Ex Machina,"Drama,Mystery,Sci-Fi",2014,108,7.7,25.44
The Belko Experiment,"Action,Horror,Thriller",2016,89,6.3,10.16
12 Years a Slave,"Biography,Drama,History",2013,134,8.1,56.67
300,"Action,Fantasy,War",2006,117,7.7,210.59
Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy",2011,130,8.1,380.96
Office Christmas Party,Comedy,2016,105,5.8,54.73
The Neon Demon,"Horror,Thriller",2016,118,6.2,1.33
Dangal,"Action,Biography,Drama",2016,161,8.8,11.15
10 Cloverfield Lane,"Drama,Horror,Mystery",2016,104,7.2,71.9
Finding Dory,"Animation,Adventure,Comedy",2016,97,7.4,486.29
Miss Peregrine's Home for Peculiar Children,"Adventure,Drama,Family",2016,127,6.7,87.24
Divergent,"Adventure,Mystery,Sci-Fi",2014,139,6.7,150.83
Mike and Dave Need Wedding Dates,"Adventure,Comedy,Romance",2016,98,6,46.01
The Dark Knight Rises,"Action,Thriller",2012,164,8.5,448.13
The Jungle Book,"Adventure,Drama,Family",2016,106,7.5,364
Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",2014,165,5.7,245.43
Nerve,"Adventure,Crime,Mystery",2016,96,6.6,38.56
Mamma Mia!,"Comedy,Family,Musical",2008,108,6.4,143.7
The Revenant,"Adventure,Drama,Thriller",2015,156,8,183.64
Fences,Drama,2016,139,7.3,57.64
Into the Woods,"Adventure,Comedy,Drama",2014,125,6,128
The Shallows,"Drama,Horror,Thriller",2016,86,6.4,55.12
Whiplash,"Drama,Music",2014,107,8.5,13.09
Furious 6,"Action,Crime,Thriller",2013,130,7.1,238.67
The Place Beyond the Pines,"Crime,Drama,Thriller",2012,140,7.3,21.38
No Country for Old Men,"Crime,Drama,Thriller",2007,122,8.1,74.27
The Great Gatsby,"Drama,Romance",2013,143,7.3,144.81
Shutter Island,"Mystery,Thriller",2010,138,8.1,127.97
Star Trek,"Action,Adventure,Sci-Fi",2009,127,8,257.7
Diary of a Wimpy Kid,"Comedy,Family",2010,94,6.2,64
The Big Short,"Biography,Comedy,Drama",2015,130,7.8,70.24
Room,Drama,2015,118,8.2,14.68
Django Unchained,"Drama,Western",2012,165,8.4,162.8
Ah-ga-ssi,"Drama,Mystery,Romance",2016,144,8.1,2.01
The Edge of Seventeen,"Comedy,Drama",2016,104,7.4,14.26
Watchmen,"Action,Drama,Mystery",2009,162,7.6,107.5
Superbad,Comedy,2007,113,7.6,121.46
Inferno,"Action,Adventure,Crime",2016,121,6.2,34.26
The BFG,"Adventure,Family,Fantasy",2016,117,6.4,55.47
The Hunger Games,"Adventure,Sci-Fi,Thriller",2012,142,7.2,408
White Girl,Drama,2016,88,5.8,0.2
Sicario,"Action,Crime,Drama",2015,121,7.6,46.88
Aliens vs Predator - Requiem,"Action,Horror,Sci-Fi",2007,94,4.7,41.8
Pacific Rim,"Action,Adventure,Sci-Fi",2013,131,7,101.79
"Crazy, Stupid, Love.","Comedy,Drama,Romance",2011,118,7.4,84.24
Scott Pilgrim vs. the World,"Action,Comedy,Fantasy",2010,112,7.5,31.49
Hot Fuzz,"Action,Comedy,Mystery",2007,121,7.9,23.62
Free Fire,"Action,Comedy,Crime",2016,90,7,1.8
X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",2014,132,8,233.91
Jack Reacher: Never Go Back,"Action,Adventure,Crime",2016,118,6.1,58.4
Casino Royale,"Action,Adventure,Thriller",2006,144,8,167.01
Twilight,"Drama,Fantasy,Romance",2008,122,5.2,191.45
Now You See Me 2,"Action,Adventure,Comedy",2016,129,6.5,65.03
Woman in Gold,"Biography,Drama,History",2015,109,7.3,33.31
13 Hours,"Action,Drama,History",2016,144,7.3,52.82
Spectre,"Action,Adventure,Thriller",2015,148,6.8,200.07
Nightcrawler,"Crime,Drama,Thriller",2014,118,7.9,32.28
Kubo and the Two Strings,"Animation,Adventure,Family",2016,101,7.9,48.02
Her,"Drama,Romance,Sci-Fi",2013,126,8,25.56
Frozen,"Animation,Adventure,Comedy",2013,102,7.5,400.74
Tomorrowland,"Action,Adventure,Family",2015,130,6.5,93.42
Dawn of the Planet of the Apes,"Action,Adventure,Drama",2014,130,7.6,208.54
Tropic Thunder,"Action,Comedy",2008,107,7,110.42
The Conjuring 2,"Horror,Mystery,Thriller",2016,134,7.4,102.46
Ant-Man,"Action,Adventure,Comedy",2015,117,7.3,180.19
Bridget Jones's Baby,"Comedy,Romance",2016,118,6.7,24.09
The VVitch: A New-England Folktale,"Horror,Mystery",2015,92,6.8,25.14
Cinderella,"Drama,Family,Fantasy",2015,105,7,201.15
Forushande,"Drama,Thriller",2016,124,8,3.4
Billy Lynn's Long Halftime Walk,"Drama,War",2016,113,6.3,1.72
Crimson Peak,"Drama,Fantasy,Horror",2015,119,6.6,31.06
Drive,"Crime,Drama",2011,100,7.8,35.05
Trainwreck,"Comedy,Drama,Romance",2015,125,6.3,110.01
The Light Between Oceans,"Drama,Romance",2016,133,7.2,12.53
Spotlight,"Crime,Drama,History",2015,128,8.1,44.99
Morgan,"Horror,Sci-Fi,Thriller",2016,92,5.8,3.91
Warrior,"Action,Drama,Sport",2011,140,8.2,13.65
Captain America: The First Avenger,"Action,Adventure,Sci-Fi",2011,124,6.9,176.64
Into the Wild,"Adventure,Biography,Drama",2007,148,8.1,18.35
The Imitation Game,"Biography,Drama,Thriller",2014,114,8.1,91.12
Central Intelligence,"Action,Comedy,Crime",2016,107,6.3,127.38
Edge of Tomorrow,"Action,Adventure,Sci-Fi",2014,113,7.9,100.19
A Cure for Wellness,"Drama,Fantasy,Horror",2016,146,6.5,8.1
Snowden,"Biography,Drama,Thriller",2016,134,7.3,21.48
Iron Man,"Action,Adventure,Sci-Fi",2008,126,7.9,318.3
Allegiant,"Action,Adventure,Mystery",2016,120,5.7,66
X: First Class,"Action,Adventure,Sci-Fi",2011,132,7.8,146.41
Raw (II),"Drama,Horror",2016,99,7.5,0.51
Paterson,"Comedy,Drama,Romance",2016,118,7.5,2.14
Bridesmaids,"Comedy,Romance",2011,125,6.8,169.08
San Andreas,"Action,Adventure,Drama",2015,114,6.1,155.18
Spring Breakers,Drama,2012,94,5.3,14.12
Transformers,"Action,Adventure,Sci-Fi",2007,144,7.1,318.76
Thor: The Dark World,"Action,Adventure,Fantasy",2013,112,7,206.36
Gods of Egypt,"Action,Adventure,Fantasy",2016,126,5.5,31.14
Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",2014,136,7.8,259.75
Monster Trucks,"Action,Adventure,Comedy",2016,104,5.7,33.04
Kick-Ass,"Action,Comedy",2010,117,7.7,48.04
Hardcore Henry,"Action,Adventure,Sci-Fi",2015,96,6.7,9.24
Cars,"Animation,Adventure,Comedy",2006,117,7.1,244.05
It Follows,"Horror,Mystery",2014,100,6.9,14.67
The Girl with the Dragon Tattoo,"Crime,Drama,Mystery",2011,158,7.8,102.52
We're the Millers,"Comedy,Crime",2013,110,7,150.37
American Honey,Drama,2016,163,7,0.66
The Lobster,"Comedy,Drama,Romance",2015,119,7.1,8.7
Predators,"Action,Adventure,Sci-Fi",2010,107,6.4,52
Maleficent,"Action,Adventure,Family",2014,97,7,241.41
Pan's Labyrinth,"Drama,Fantasy,War",2006,118,8.2,37.62
A Kind of Murder,"Crime,Drama,Thriller",2016,95,5.2,0
Apocalypto,"Action,Adventure,Drama",2006,139,7.8,50.86
Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller",2015,131,7.4,195
The Huntsman: Winter's War,"Action,Adventure,Drama",2016,114,6.1,47.95
The Perks of Being a Wallflower,"Drama,Romance",2012,102,8,17.74
Jackie,"Biography,Drama,History",2016,100,6.8,13.96
The Disappointments Room,"Drama,Horror,Thriller",2016,85,3.9,2.41
The Grand Budapest Hotel,"Adventure,Comedy,Drama",2014,99,8.1,59.07
The Host,"Action,Adventure,Romance",2013,125,5.9,26.62
Fury,"Action,Drama,War",2014,134,7.6,85.71
Inside Out,"Animation,Adventure,Comedy",2015,95,8.2,356.45
Rock Dog,"Animation,Adventure,Comedy",2016,90,5.8,9.4
Terminator Genisys,"Action,Adventure,Sci-Fi",2015,126,6.5,89.73
Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Family,Fantasy",2010,118,5.9,88.76
Les Mis茅rables,"Drama,Musical,Romance",2012,158,7.6,148.78
Children of Men,"Drama,Sci-Fi,Thriller",2006,109,7.9,35.29
20th Century Women,"Comedy,Drama",2016,119,7.4,5.66
Spy,"Action,Comedy,Crime",2015,119,7.1,110.82
The Intouchables,"Biography,Comedy,Drama",2011,112,8.6,13.18
Bonjour Anne,"Comedy,Drama,Romance",2016,92,4.9,0.32
Kynodontas,"Drama,Thriller",2009,94,7.3,0.11
Straight Outta Compton,"Biography,Drama,History",2015,147,7.9,161.03
The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi",2014,142,6.7,202.85
The Conjuring,"Horror,Mystery,Thriller",2013,112,7.5,137.39
The Hangover,Comedy,2009,100,7.8,277.31
Battleship,"Action,Adventure,Sci-Fi",2012,131,5.8,65.17
Rise of the Planet of the Apes,"Action,Drama,Sci-Fi",2011,105,7.6,176.74
Lights Out,Horror,2016,81,6.4,67.24
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Drama,Thriller",2016,118,7.1,2.27
Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama,Romance",2014,119,7.8,42.34
Black Swan,"Drama,Thriller",2010,108,8,106.95
Dear White People,"Comedy,Drama",2014,108,6.2,4.4
Nymphomaniac: Vol. I,Drama,2013,117,7,0.79
Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy",2016,112,6,0.54
Knock Knock,"Drama,Horror,Thriller",2015,99,4.9,0.03
Dirty Grandpa,Comedy,2016,102,6,35.54
Cloud Atlas,"Drama,Sci-Fi",2012,172,7.5,27.1
X-Men Origins: Wolverine,"Action,Adventure,Sci-Fi",2009,107,6.7,179.88
Skyfall,"Action,Adventure,Thriller",2012,143,7.8,304.36
The Hobbit: An Unexpected Journey,"Adventure,Fantasy",2012,169,7.9,303
21 Jump Street,"Action,Comedy,Crime",2012,110,7.2,138.45
Sing Street,"Comedy,Drama,Music",2016,106,8,3.23
Oblivion,"Action,Adventure,Mystery",2013,124,7,89.02
22 Jump Street,"Action,Comedy,Crime",2014,112,7.1,191.62
Zodiac,"Crime,Drama,History",2007,157,7.7,33.05
Everybody Wants Some!!,Comedy,2016,117,7,3.37
Iron Man Three,"Action,Adventure,Sci-Fi",2013,130,7.2,408.99
Now You See Me,"Crime,Mystery,Thriller",2013,115,7.3,117.7
Sherlock Holmes,"Action,Adventure,Crime",2009,128,7.6,209.02
The Danish Girl,"Biography,Drama,Romance",2015,119,7,12.71
Hercules,"Action,Adventure",2014,98,6,72.66
Sucker Punch,"Action,Fantasy",2011,110,6.1,36.38
Keeping Up with the Joneses,"Action,Comedy",2016,105,5.8,14.9
Jupiter Ascending,"Action,Adventure,Sci-Fi",2015,127,5.3,47.38
Masterminds,"Action,Comedy,Crime",2016,95,5.8,17.36
Busanhaeng,"Action,Drama,Horror",2016,118,7.5,2.13
Pitch Perfect,"Comedy,Music,Romance",2012,112,7.2,65
Neighbors 2: Sorority Rising,Comedy,2016,92,5.7,55.29
Man of Steel,"Action,Adventure,Fantasy",2013,143,7.1,291.02
The Choice,"Drama,Romance",2016,111,6.6,18.71
Ice Age: Collision Course,"Animation,Adventure,Comedy",2016,94,5.7,64.06
The Devil Wears Prada,"Comedy,Drama",2006,109,6.8,124.73
The Infiltrator,"Biography,Crime,Drama",2016,127,7.1,15.43
There Will Be Blood,"Drama,History",2007,158,8.1,40.22
The Equalizer,"Action,Crime,Thriller",2014,132,7.2,101.53
Lone Survivor,"Action,Biography,Drama",2013,121,7.5,125.07
The Cabin in the Woods,Horror,2012,95,7,42.04
The House Bunny,"Comedy,Romance",2008,97,5.5,48.24
She's Out of My League,"Comedy,Romance",2010,104,6.4,31.58
Inherent Vice,"Comedy,Crime,Drama",2014,148,6.7,8.09
Alice Through the Looking Glass,"Adventure,Family,Fantasy",2016,113,6.2,77.04
The Fast and the Furious: Tokyo Drift,"Action,Crime,Thriller",2006,104,6,62.49
How to Be Single,"Comedy,Romance",2016,110,6.1,46.81
The Blind Side,"Biography,Drama,Sport",2009,129,7.7,255.95
La vie d'Ad猫le,"Drama,Romance",2013,180,7.8,2.2
The Babadook,"Drama,Horror",2014,93,6.8,0.92
The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",2014,144,7.4,255.11
