名称,类型,上映时间,片长,评分,收入(百万)
Public Enemies,"Biography,Crime,Drama",2009,140,7,97.03
Boyhood,Drama,2014,165,7.9,25.36
Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy",2014,101,5.9,190.87
Eastern Promises,"Crime,Drama,Mystery",2007,100,7.7,17.11
The Daughter,Drama,2015,96,6.7,0.03
Pineapple Express,"Action,Comedy,Crime",2008,111,7,87.34
The First Time,"Comedy,Drama,Romance",2012,95,6.9,0.02
Gone Baby Gone,"Crime,Drama,Mystery",2007,114,7.7,20.3
The Heat,"Action,Comedy,Crime",2013,117,6.6,159.58
L'avenir,Drama,2016,102,7.1,0.28
Anna Karenina,"Drama,Romance",2012,129,6.6,12.8
Regression,"Crime,Drama,Mystery",2015,106,5.7,0.05
Ted 2,"Adventure,Comedy,Romance",2015,115,6.3,81.26
Pain & Gain,"Comedy,Crime,Drama",2013,129,6.5,49.87
Blood Diamond,"Adventure,Drama,Thriller",2006,143,8,57.37
Child 44,"Crime,Drama,Thriller",2015,137,6.5,1.21
The Hurt Locker,"Drama,History,Thriller",2008,131,7.6,15.7
Green Lantern,"Action,Adventure,Sci-Fi",2011,114,5.6,116.59
The Mist,Horror,2007,126,7.2,25.59
Escape Plan,"Action,Crime,Mystery",2013,115,6.7,25.12
"Love, Rosie","Comedy,Romance",2014,102,7.2,0.01
The DUFF,Comedy,2015,101,6.5,34.02
The Age of Shadows,"Action,Drama,Thriller",2016,140,7.2,0.54
The Hunger Games: Mockingjay - Part 1,"Action,Adventure,Sci-Fi",2014,123,6.7,337.1
We Need to Talk About Kevin,"Drama,Mystery,Thriller",2011,112,7.5,1.74
Love & Friendship,"Comedy,Drama,Romance",2016,90,6.5,14.01
The Mortal Instruments: City of Bones,"Action,Fantasy,Horror",2013,130,5.9,31.17
Seven Pounds,"Drama,Romance",2008,123,7.7,69.95
The King's Speech,"Biography,Drama",2010,118,8,138.8
Hunger,"Biography,Drama",2008,96,7.6,0.15
Jumper,"Action,Adventure,Sci-Fi",2008,88,6.1,80.17
Toy Story 3,"Animation,Adventure,Comedy",2010,103,8.3,414.98
Tinker Tailor Soldier Spy,"Drama,Mystery,Thriller",2011,122,7.1,24.1
Resident Evil: Retribution,"Action,Horror,Sci-Fi",2012,96,5.4,42.35
Dear Zindagi,"Drama,Romance",2016,151,7.8,1.4
Genius,"Biography,Drama",2016,104,6.5,1.36
Pompeii,"Action,Adventure,Drama",2014,105,5.5,23.22
Life of Pi,"Adventure,Drama,Fantasy",2012,127,7.9,124.98
10 Years,"Comedy,Drama,Romance",2011,100,6.1,0.2
I Origins,"Drama,Romance,Sci-Fi",2014,106,7.3,0.33
Live Free or Die Hard,"Action,Adventure,Thriller",2007,128,7.2,134.52
Funny Games,"Crime,Drama,Horror",2007,111,6.5,1.29
Ted,"Comedy,Fantasy",2012,106,7,218.63
RED,"Action,Comedy,Crime",2010,111,7.1,90.36
Australia,"Adventure,Drama,Romance",2008,165,6.6,49.55
Faster,"Action,Crime,Drama",2010,98,6.5,23.23
The Adjustment Bureau,"Romance,Sci-Fi,Thriller",2011,106,7.1,62.45
The Hollars,"Comedy,Drama,Romance",2016,88,6.5,1.02
The Judge,"Crime,Drama",2014,141,7.4,47.11
Closed Circuit,"Crime,Drama,Mystery",2013,96,6.2,5.73
Transformers: Revenge of the Fallen,"Action,Adventure,Sci-Fi",2009,150,6,402.08
La tortue rouge,"Animation,Fantasy",2016,80,7.6,0.92
The Book of Life,"Animation,Adventure,Comedy",2014,95,7.3,50.15
Incendies,"Drama,Mystery,War",2010,131,8.2,6.86
The Heartbreak Kid,"Comedy,Romance",2007,116,5.8,36.77
Happy Feet,"Animation,Comedy,Family",2006,108,6.5,197.99
Entourage,Comedy,2015,104,6.6,32.36
The Strangers,"Horror,Mystery,Thriller",2008,86,6.2,52.53
Noah,"Action,Adventure,Drama",2014,138,5.8,101.16
Neighbors,Comedy,2014,97,6.4,150.06
Nymphomaniac: Vol. II,Drama,2013,123,6.7,0.33
Wild,"Adventure,Biography,Drama",2014,115,7.1,37.88
Grown Ups,Comedy,2010,102,6,162
Blair Witch,"Horror,Thriller",2016,89,5.1,20.75
The Karate Kid,"Action,Drama,Family",2010,140,6.2,176.59
Dark Shadows,"Comedy,Fantasy,Horror",2012,113,6.2,79.71
Friends with Benefits,"Comedy,Romance",2011,109,6.6,55.8
The Illusionist,"Drama,Mystery,Romance",2006,110,7.6,39.83
The A-Team,"Action,Adventure,Comedy",2010,117,6.8,77.21
The Guest,Thriller,2014,100,6.7,0.32
The Internship,Comedy,2013,119,6.3,44.67
Paul,"Adventure,Comedy,Sci-Fi",2011,104,7,37.37
The Da Vinci Code,"Mystery,Thriller",2006,149,6.6,217.54
Mr. Church,"Comedy,Drama",2016,104,7.7,0.69
Hugo,"Adventure,Drama,Family",2011,126,7.5,73.82
The Blackcoat's Daughter,"Horror,Thriller",2015,93,5.6,0.02
Body of Lies,"Action,Drama,Romance",2008,128,7.1,39.38
Knight of Cups,"Drama,Romance",2015,118,5.7,0.56
The Mummy: Tomb of the Dragon Emperor,"Action,Adventure,Fantasy",2008,112,5.2,102.18
The Boss,Comedy,2016,99,5.4,63.03
Hands of Stone,"Action,Biography,Drama",2016,111,6.6,4.71
El secreto de sus ojos,"Drama,Mystery,Romance",2009,129,8.2,20.17
True Grit,"Adventure,Drama,Western",2010,110,7.6,171.03
We Are Your Friends,"Drama,Music,Romance",2015,96,6.2,3.59
A Million Ways to Die in the West,"Comedy,Romance,Western",2014,116,6.1,42.62
Rules Don't Apply,"Comedy,Drama,Romance",2016,127,5.7,3.65
Ouija: Origin of Evil,"Horror,Thriller",2016,99,6.1,34.9
Percy Jackson: Sea of Monsters,"Adventure,Family,Fantasy",2013,106,5.9,68.56
Fracture,"Crime,Drama,Mystery",2007,113,7.2,39
Oculus,"Horror,Mystery",2013,104,6.5,27.69
In Bruges,"Comedy,Crime,Drama",2008,107,7.9,7.76
This Means War,"Action,Comedy,Romance",2012,103,6.3,54.76
The Road,"Adventure,Drama",2009,111,7.3,0.06
Conan the Barbarian,"Action,Adventure,Fantasy",2011,113,5.2,21.27
The Fighter,"Action,Biography,Drama",2010,116,7.8,93.57
August Rush,"Drama,Music",2007,114,7.5,31.66
Chef,"Comedy,Drama",2014,114,7.3,31.24
Eye in the Sky,"Drama,Thriller,War",2015,102,7.3,18.7
Eagle Eye,"Action,Mystery,Thriller",2008,118,6.6,101.11
The Purge,"Horror,Sci-Fi,Thriller",2013,85,5.7,64.42
PK,"Comedy,Drama,Romance",2014,153,8.2,10.57
Ender's Game,"Action,Sci-Fi",2013,114,6.7,61.66
Indiana Jones and the Kingdom of the Crystal Skull,"Action,Adventure,Fantasy",2008,122,6.2,317.01
Paper Towns,"Drama,Mystery,Romance",2015,109,6.3,31.99
High-Rise,Drama,2015,119,5.7,0.34
Quantum of Solace,"Action,Adventure,Thriller",2008,106,6.6,168.37
How to Train Your Dragon,"Animation,Action,Adventure",2010,98,8.1,217.39
Lady in the Water,"Drama,Fantasy,Mystery",2006,110,5.6,42.27
The Fountain,"Drama,Sci-Fi",2006,96,7.3,10.14
Cars 2,"Animation,Adventure,Comedy",2011,106,6.2,191.45
31,"Horror,Thriller",2016,102,5.1,0.78
The Man Who Knew Infinity,"Biography,Drama",2015,108,7.2,3.86
Unknown,"Action,Mystery,Thriller",2011,113,6.9,61.09
Self/less,"Action,Mystery,Sci-Fi",2015,117,6.5,12.28
Mr. Brooks,"Crime,Drama,Thriller",2007,120,7.3,28.48
Before We Go,"Comedy,Drama,Romance",2014,95,6.9,0.04
Captain Phillips,"Biography,Drama,Thriller",2013,134,7.8,107.1
Max Steel,"Action,Adventure,Family",2016,92,4.6,3.77
Hotel Transylvania 2,"Animation,Comedy,Family",2015,89,6.7,169.69
Hancock,"Action,Crime,Drama",2008,92,6.4,227.95
Sisters,Comedy,2015,118,6,87.03
The Family,"Comedy,Crime,Thriller",2013,111,6.3,36.92
Zack and Miri Make a Porno,"Comedy,Romance",2008,101,6.6,31.45
Ma vie de Courgette,"Animation,Comedy,Drama",2016,66,7.8,0.29
Man on a Ledge,"Action,Crime,Thriller",2012,102,6.6,18.6
No Strings Attached,"Comedy,Romance",2011,108,6.2,70.63
Rescue Dawn,"Adventure,Biography,Drama",2006,120,7.3,5.48
Despicable Me 2,"Animation,Adventure,Comedy",2013,98,7.4,368.05
A Walk Among the Tombstones,"Crime,Drama,Mystery",2014,114,6.5,25.98
The World's End,"Action,Comedy,Sci-Fi",2013,109,7,26
Seven Psychopaths,"Comedy,Crime",2012,110,7.2,14.99
Beowulf,"Animation,Action,Adventure",2007,115,6.2,82.16
Jack Ryan: Shadow Recruit,"Action,Drama,Thriller",2014,105,6.2,50.55
1408,"Fantasy,Horror",2007,104,6.8,71.98
The Gambler,"Crime,Drama,Thriller",2014,111,6,33.63
Prince of Persia: The Sands of Time,"Action,Adventure,Fantasy",2010,116,6.6,90.76
The Spectacular Now,"Comedy,Drama,Romance",2013,95,7.1,6.85
A United Kingdom,"Biography,Drama,Romance",2016,111,6.8,3.9
Turbo Kid,"Action,Adventure,Comedy",2015,93,6.7,0.05
Mama,"Horror,Thriller",2013,100,6.2,71.59
Orphan,"Horror,Mystery,Thriller",2009,123,7,41.57
To Rome with Love,"Comedy,Romance",2012,112,6.3,16.68
Fantastic Mr. Fox,"Animation,Adventure,Comedy",2009,87,7.8,21
Inside Man,"Crime,Drama,Mystery",2006,129,7.6,88.5
127 Hours,"Adventure,Biography,Drama",2010,94,7.6,18.33
Annabelle,"Horror,Mystery,Thriller",2014,99,5.4,84.26
The Imaginarium of Doctor Parnassus,"Adventure,Fantasy,Mystery",2009,123,6.8,7.69
G.I. Joe: The Rise of Cobra,"Action,Adventure,Sci-Fi",2009,118,5.8,150.17
Christine,"Biography,Drama",2016,119,7,0.3
Shut In,"Drama,Horror,Thriller",2016,91,4.6,6.88
Grindhouse,"Action,Horror,Thriller",2007,191,7.6,25.03
Disaster Movie,Comedy,2008,87,1.9,14.17
Rocky Balboa,"Drama,Sport",2006,102,7.2,70.27
Diary of a Wimpy Kid: Dog Days,"Comedy,Family",2012,94,6.4,49
Jane Eyre,"Drama,Romance",2011,120,7.4,11.23
Fool's Gold,"Action,Adventure,Comedy",2008,112,5.7,70.22
The Dictator,Comedy,2012,83,6.4,59.62
The Loft,"Mystery,Romance,Thriller",2014,108,6.3,5.98
Bacalaureat,"Crime,Drama",2016,128,7.5,0.13
You Don't Mess with the Zohan,"Action,Comedy",2008,113,5.5,100.02
Horrible Bosses 2,"Comedy,Crime",2014,108,6.3,54.41
A Bigger Splash,"Drama,Thriller",2015,125,6.4,1.98
Melancholia,Drama,2011,135,7.1,3.03
The Princess and the Frog,"Animation,Adventure,Comedy",2009,97,7.1,104.37
Unstoppable,"Action,Thriller",2010,98,6.8,81.56
Flight,"Drama,Thriller",2012,138,7.3,93.75
Home,"Animation,Adventure,Comedy",2015,94,6.7,177.34
La migliore offerta,"Crime,Drama,Mystery",2013,131,7.8,0.09
42,"Biography,Drama,Sport",2013,128,7.5,95
21,"Crime,Drama,Thriller",2008,123,6.8,81.16
Begin Again,"Drama,Music",2013,104,7.4,16.17
Out of the Furnace,"Crime,Drama,Thriller",2013,116,6.8,11.33
Vicky Cristina Barcelona,"Drama,Romance",2008,96,7.1,23.21
Kung Fu Panda,"Animation,Action,Adventure",2008,92,7.6,215.4
Barbershop: The Next Cut,"Comedy,Drama",2016,111,5.9,54.01
Terminator Salvation,"Action,Adventure,Drama",2009,115,6.6,125.32
Freedom Writers,"Biography,Crime,Drama",2007,123,7.5,36.58
The Hills Have Eyes,Horror,2006,107,6.4,41.78
Changeling,"Biography,Drama,Mystery",2008,141,7.8,35.71
Remember Me,"Drama,Romance",2010,113,7.2,19.06
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Comedy,Family",2014,81,6.2,66.95
Locke,Drama,2013,85,7.1,1.36
Horns,"Drama,Fantasy,Horror",2013,120,6.5,0.16
Indignation,"Drama,Romance",2016,110,6.9,3.4
The Stanford Prison Experiment,"Biography,Drama,History",2015,122,6.9,0.64
Diary of a Wimpy Kid: Rodrick Rules,"Comedy,Family",2011,99,6.6,52.69
Mission: Impossible III,"Action,Adventure,Thriller",2006,126,6.9,133.38
En man som heter Ove,"Comedy,Drama",2015,116,7.7,3.36
Dragonball Evolution,"Action,Adventure,Fantasy",2009,85,2.7,9.35
Red Dawn,"Action,Thriller",2012,93,5.4,44.8
One Day,"Drama,Romance",2011,107,7,13.77
Life as We Know It,"Comedy,Drama,Romance",2010,114,6.6,53.36
28 Weeks Later,"Drama,Horror,Sci-Fi",2007,100,7,28.64
Warm Bodies,"Comedy,Horror,Romance",2013,98,6.9,66.36
Blue Jasmine,Drama,2013,98,7.3,33.4
G.I. Joe: Retaliation,"Action,Adventure,Sci-Fi",2013,110,5.8,122.51
Wrath of the Titans,"Action,Adventure,Fantasy",2012,99,5.8,83.64
Shin Gojira,"Action,Adventure,Drama",2016,120,6.9,1.91
Saving Mr. Banks,"Biography,Comedy,Drama",2013,125,7.5,83.3
Transcendence,"Drama,Mystery,Romance",2014,119,6.3,23.01
Rio,"Animation,Adventure,Comedy",2011,96,6.9,143.62
Equals,"Drama,Romance,Sci-Fi",2015,101,6.1,0.03
Babel,Drama,2006,143,7.5,34.3
The Tree of Life,"Drama,Fantasy",2011,139,6.8,13.3
The Lucky One,"Drama,Romance",2012,101,6.5,60.44
Piranha 3D,"Comedy,Horror,Thriller",2010,88,5.5,25
50/50,"Comedy,Drama,Romance",2011,100,7.7,34.96
This Is 40,"Comedy,Romance",2012,134,6.2,67.52
Real Steel,"Action,Drama,Family",2011,127,7.1,85.46
Sex and the City,"Comedy,Drama,Romance",2008,145,5.5,152.64
Rambo,"Action,Thriller,War",2008,92,7.1,42.72
Concussion,"Biography,Drama,Sport",2015,123,7.1,34.53
The Fall,"Adventure,Comedy,Drama",2006,117,7.9,2.28
The Ugly Truth,"Comedy,Romance",2009,96,6.5,88.92
Bride Wars,"Comedy,Romance",2009,89,5.5,58.72
Sleeping with Other People,"Comedy,Drama,Romance",2015,101,6.5,0.81
Snakes on a Plane,"Action,Adventure,Crime",2006,105,5.6,34.01
What If,"Comedy,Romance",2013,98,6.8,3.45
How to Train Your Dragon 2,"Animation,Action,Adventure",2014,102,7.9,177
RoboCop,"Action,Crime,Sci-Fi",2014,117,6.2,58.61
"Hello, My Name Is Doris","Comedy,Drama,Romance",2015,95,6.7,14.44
Ocean's Thirteen,"Crime,Thriller",2007,122,6.9,117.14
Slither,"Comedy,Horror,Sci-Fi",2006,95,6.5,7.77
Contagion,"Drama,Thriller",2011,106,6.6,75.64
Il racconto dei racconti - Tale of Tales,"Drama,Fantasy,Horror",2015,133,6.4,0.08
Bridge to Terabithia,"Adventure,Drama,Family",2007,96,7.2,82.23
Coherence,"Mystery,Sci-Fi,Thriller",2013,89,7.2,0.07
Notorious,"Biography,Crime,Drama",2009,122,6.7,36.84
Goksung,"Drama,Fantasy,Horror",2016,156,7.5,0.79
The Expendables 2,"Action,Adventure,Thriller",2012,103,6.6,85.02
Perfume: The Story of a Murderer,"Crime,Drama,Fantasy",2006,147,7.5,2.21
The Golden Compass,"Adventure,Family,Fantasy",2007,113,6.1,70.08
Centurion,"Action,Adventure,Drama",2010,97,6.4,0.12
Scouts Guide to the Zombie Apocalypse,"Action,Comedy,Horror",2015,93,6.3,3.64
17 Again,"Comedy,Drama,Family",2009,102,6.4,64.15
No Escape,"Action,Thriller",2015,103,6.8,27.29
Superman Returns,"Action,Adventure,Sci-Fi",2006,154,6.1,200.07
The Twilight Saga: Breaking Dawn - Part 1,"Adventure,Drama,Fantasy",2011,117,4.9,281.28
Precious,Drama,2009,110,7.3,47.54
The Sea of Trees,Drama,2015,110,5.9,0.02
The Master,Drama,2012,144,7.1,16.38
Footloose,"Comedy,Drama,Music",2011,113,5.9,51.78
If I Stay,"Drama,Fantasy,Music",2014,107,6.8,50.46
The Love Witch,"Comedy,Horror",2016,120,6.2,0.22
Talladega Nights: The Ballad of Ricky Bobby,"Action,Comedy,Sport",2006,108,6.6,148.21
The Human Centipede (First Sequence),Horror,2009,92,4.4,0.18
Super,"Comedy,Drama",2010,96,6.8,0.32
Up in the Air,"Drama,Romance",2009,109,7.4,83.81
The Midnight Meat Train,"Horror,Mystery",2008,98,6.1,0.07
The Twilight Saga: Eclipse,"Adventure,Drama,Fantasy",2010,124,4.9,300.52
What's Your Number?,"Comedy,Romance",2011,106,6.1,13.99
Riddick,"Action,Sci-Fi,Thriller",2013,119,6.4,42
The Butler,"Biography,Drama",2013,132,7.2,116.63
King Cobra,"Crime,Drama",2016,91,5.6,0.03
After Earth,"Action,Adventure,Sci-Fi",2013,100,4.9,60.52
Kicks,Adventure,2016,80,6.1,0.15
Me and Earl and the Dying Girl,"Comedy,Drama",2015,105,7.8,6.74
The Descendants,"Comedy,Drama",2011,115,7.3,82.62
Sex and the City 2,"Comedy,Drama,Romance",2010,146,4.3,95.33
The Kings of Summer,"Adventure,Comedy,Drama",2013,95,7.2,1.29
Death Race,"Action,Sci-Fi,Thriller",2008,105,6.4,36.06
That Awkward Moment,"Comedy,Romance",2014,94,6.2,26.05
Legion,"Action,Fantasy,Horror",2010,100,5.2,40.17
End of Watch,"Crime,Drama,Thriller",2012,109,7.7,40.98
3 Days to Kill,"Action,Drama,Thriller",2014,117,6.2,30.69
Lucky Number Slevin,"Crime,Drama,Mystery",2006,110,7.8,22.49
Trance,"Crime,Drama,Mystery",2013,101,7,2.32
Into the Forest,"Drama,Sci-Fi,Thriller",2015,101,5.9,0.01
The Other Boleyn Girl,"Biography,Drama,History",2008,115,6.7,26.81
I Spit on Your Grave,"Crime,Horror,Thriller",2010,108,6.3,0.09
The Walk,"Adventure,Biography,Crime",2015,123,7.3,10.14
The Lone Ranger,"Action,Adventure,Western",2013,150,6.5,89.29
Texas Chainsaw 3D,"Horror,Thriller",2013,92,4.8,34.33
Disturbia,"Drama,Mystery,Thriller",2007,105,6.9,80.05
Rock of Ages,"Comedy,Drama,Musical",2012,123,5.9,38.51
Scream 4,"Horror,Mystery",2011,111,6.2,38.18
Queen of Katwe,"Biography,Drama,Sport",2016,124,7.4,8.81
My Big Fat Greek Wedding 2,"Comedy,Family,Romance",2016,94,6,59.57
The Skin I Live In,"Drama,Thriller",2011,120,7.6,3.19
Miracles from Heaven,"Biography,Drama,Family",2016,109,7,61.69
Annie,"Comedy,Drama,Family",2014,118,5.3,85.91
Across the Universe,"Drama,Fantasy,Musical",2007,133,7.4,24.34
Let's Be Cops,Comedy,2014,104,6.5,82.39
Max,"Adventure,Family",2015,111,6.8,42.65
Your Highness,"Adventure,Comedy,Fantasy",2011,102,5.6,21.56
Final Destination 5,"Horror,Thriller",2011,92,5.9,42.58
Endless Love,"Drama,Romance",2014,104,6.3,23.39
Selma,"Biography,Drama,History",2014,128,7.5,52.07
Underworld: Rise of the Lycans,"Action,Adventure,Fantasy",2009,92,6.6,45.8
Taare Zameen Par,"Drama,Family,Music",2007,165,8.5,1.2
Take Me Home Tonight,"Comedy,Drama,Romance",2011,97,6.3,6.92
Resident Evil: Afterlife,"Action,Adventure,Horror",2010,97,5.9,60.13
Project X,Comedy,2012,88,6.7,54.72
Hostel: Part II,Horror,2007,94,5.5,17.54
Step Up 2: The Streets,"Drama,Music,Romance",2008,98,6.2,58.01
Nine Lives,"Comedy,Family,Fantasy",2016,87,5.3,19.64
